,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
8,8/9/2018,7/30/2018,{jpg}Sky full of vibration of light waves looked like transparent objects possibly organisms flying rapidly from south to north occasionally slowing and hovering and changing in intensity or brightness eventually a solid object appeared hovered then flew,"New York , NY, US",,7176766444724790BD279AF1603BD3E2.MOV
,,12:00AM,,,,
9,8/2/2018,7/26/2018,{rjl} I was taking pics and accidentally snapped a photo of a ufo,"Highland Falls, NY, US",,1.jpg
,,12:00AM,,,,2.jpg
10,7/27/2018,7/27/2018,{cak} Light flew in to sight from my left sudden stop and hover,"Utica, NY, US",,IMG20180727213637048.jpg
,,9:35PM,,,,1532741831562.jpg
11,7/26/2018,7/21/2018,"{cak} Looked to sky, saw what I assumed was a plane with lights trailing behind, lights scattered, disappeared...one light in opposite direction went into a cloud, did not see it reappear.","Sauquoit, NY, US",,
,,2:45PM,,,,
12,7/22/2018,7/22/2018,{cak} Saw Tall Creature / Entity,"Queensbury, NY, US",,20180722002836.jpg
,,12:00AM,,,,
13,7/20/2018,7/19/2018,{tdI can never see stars in the bronx especially where this light was glowing white an red. I saw this looking at yankee stadium towards queens as it slowly moved in the video i took its moving north. An airplane few far above it an passed it going west.,"Bronx, NY, US",,20180719232206.mp4
,,11:05PM,,,,20180719231134.mp4
,,,,,,20180719225949.mp4
14,7/19/2018,7/19/2018,{td} Bright object vanishes,"White Plains, NY, US",,
,,8:30PM,,,,
15,7/15/2018,7/13/2018,{td} sphere,"Guilford, NY, US",,
,,9:58PM,,,,
16,7/10/2018,7/9/2018,{jpg} My wife and I witnessed 2 Glowing orange orbs moving rapidly over our neighbors house. I snapped 3 photos,"Jamestown, NY, US",,1015556001.JPG
,,10:50PM,,,,1015558.JPG
,,,,,,1015559001.JPG
,,,,,,1015559.JPG
17,7/9/2018,7/9/2018,{jpg} I was getting of highway exit and saw a bright streak of light cross the sky and was pulsating,"Syracuse , NY, US",,
,,1:54AM,,,,
18,7/7/2018,7/7/2018,{dr}Oval with slight disc ridge,"Salem, NY, US",,
,,12:00AM,,,,
19,7/6/2018,7/6/2018,"{dr}Total of five objects hovering, forming straight lines, circles, and both increasing and decreasing in brightness","Babylon, NY, US",,VID20180706223541.mp4
,,10:15PM,,,,IMG20180706223511.jpg
20,7/6/2018,5/5/2018,{dr}Telepathic communication with sighting an hour later,"Corning, NY, US",,3105688318075308526431544615885989636734976n.jpg
,,11:00PM,,,,
21,7/5/2018,7/3/2018,{dr}Vertical lights solid lights traveling horizontally across night sky.,"Orchard Park, NY, US",,
,,10:40PM,,,,
22,7/5/2018,7/4/2018,{dr}this was almost a perfect green rectangle except for a fuzz on either end at times,"nyc, NY, US",,IMG0076.mov
,,9:30PM,,,,
23,7/4/2018,7/1/2018,{dr}Orb like object moving in the sky,"Macedon, NY, US",,C2595FE3B03D466CBA42CEA3E592B305.jpeg
,,10:15PM,,,,E045CC48CCF34720AAE2920B0786C489.jpeg
,,,,,,472D47296A65494DA3B52F24EEB0877B.jpeg
,,,,,,01677EC3586A45CA9EC2E411C6D8C2C2.jpeg
,,,,,,94E75B52B899418286016ADF4F8528B7.jpeg
,,,,,,CC4DCF1ED16A49ABBFD08FFC2402E555.jpeg
,,,,,,2A260C3468B340ACAFCBED50122A85C4.jpeg
,,,,,,F2CB9E0546D746B1BCF14833D171FCE5.jpeg
24,7/2/2018,7/2/2018,{dr}5 pattern light beam,"Blossvale, NY, US",,
,,1:34AM,,,,
25,6/30/2018,6/28/2018,{td} DOTS IN THE NIGHT SKY,"Yonkers, NY, US",,
,,12:00AM,,,,
26,6/28/2018,6/28/2018,{td} Circular light changing colors and shape,"NY, US",,91177671BA4844C098D51E9F290456CB.MOV
,,9:32PM,,,,03F835510A10409FAB2A9F974377CE62.MOV
,,,,,,2EA329905664495B82B1BB2C13C43F1F.MOV
27,6/27/2018,6/25/2018,"{td} Observed a tiny starlike object move a short distance, then fade to an almost invisible dot, only to brighten and fade 3 more times in different portions of the same patch of sky.","Rochester, NY, US",,
,,12:00AM,,,,
28,6/27/2018,6/27/2018,{td} Flew straight but kind of wobbled like a ballon. Bright light.,"staten island, NY, US",,
,,10:30PM,,,,
29,6/26/2018,6/21/2018,{td} Hovering metallic object moving ahead of car on highway and shining a light,"Greenfield Park, NY, US",,1529998623231.jpg
,,9:30PM,,,,
30,6/20/2018,6/20/2018,{rjl} Bright orange light in sky 230 am. Accompanied by multiple blue lights all around orange vessel. Changes color and shape several times. Looks like a war in sky,"Glens falls , NY, US",,IMG20180620033535.jpg
,,3:30AM,,,,IMG20180620033534.jpg
,,,,,,IMG20180620033533.jpg
,,,,,,IMG201806200335331.jpg
,,,,,,IMG201806200335301.jpg
31,6/18/2018,6/14/2018,{rjl} [email address removed/cms/rj][email address removed/cms/rj]ntity only appeared for a couple of frames in video and then warped shape.n unidentified flying object or UFO raced across the sky over Buffalo,"Buffalo, NY, US",,
,,11:18PM,,,,
32,6/17/2018,6/17/2018,"{rjl} Star-like light cruised across sky, made a sudden a turn, increased speed, disappeared into nothing.","Palisades , NY, US",,
,,12:00AM,,,,
33,6/14/2018,6/14/2018,{cak} At 2:00PM EDT observed silver disk hovering approx 1 mile up moving south to north over hudson river by 34th Street. Within 4-5 minutes hovered north and within in 3 seconds climbed toward the sky until it disappeared,"New York, NY, US",,
,,2:00PM,,,,
34,6/9/2018,5/26/2018,"{jpg} Brilliant white light flashed 3 times, blinding me then disappearing.","Manhattan, NY, US",,
,,11:00PM,,,,
35,6/9/2018,6/8/2018,{jpg} Large orange oval shaped objects observed from vrizon north to verizon south,"Hudson, NY, US",,
,,9:05PM,,,,
36,6/8/2018,6/7/2018,"{jpg} HUGE bright light, even hurt my eyes...when I began to film it disappeared fast","NY, US",,UFOJune2018.jpg
,,12:00AM,,,,IMG6729.JPG
37,6/3/2018,5/31/2018,{jpg} Triangular Entity of Disks,"Millbrook, NY, US",,image21.jpg
,,12:00AM,,,,image23.jpg
,,,,,,image22.jpg
38,6/3/2018,6/2/2018,{jpg} Saw nice cloud with sun set then saw a jet in cloud and my eye then caught an object that was black but reflected sun light turned bright white emitted no vapor but then within a few minutes it just started emitting vapor. And was moving very slow.,"Albany, NY, US",,
,,8:15PM,,,,
39,6/3/2018,6/3/2018,{jpg} Pulsating light in what appeared to be a saucer like shape,"Springville, NY, US",,
,,1:30AM,,,,
40,5/31/2018,5/30/2018,{td} In Greece ridge mall parking lot looked up and saw tilted circle with gold yellow lights. For about a minute and a half,"Rochester, NY, US",,
,,9:00PM,,,,
41,5/25/2018,5/4/2018,"{rjl} object start dark, then very bright, the dark again","Melville, NY, US",,UFO.mp4
,,5:21AM,,,,
42,5/24/2018,5/24/2018,"{rjl} shiny white objects in the sky,weird clouds and lightening.","Wellsville, NY, US",,
,,2:24PM,,,,
43,5/16/2018,5/15/2018,"{cak} Two silent glowing orbs similar to ball lightning approach our vehicle, beaming twice like a camera, then disappear.","Bay Shore, NY, US",,image.jpg
,,9:30PM,,,,
44,5/15/2018,5/9/2018,"{cak} Since April 30,2018 untl May 9,2018 I have been documenting UFOs over Long Island city from my apartment on the 29th floor","New York, NY, US",,941BestVideooverLongIslandCity.mov
,,12:00AM,,,,UFOTwilightTimepart22.mov
,,,,,,954LargeUFOcrossingoversmallone.mov
,,,,,,April30UFOsoverLongIslandCity.mov
,,,,,,827slowmotionpart1.mov
45,5/3/2018,5/2/2018,{jpg}I was on my porch looking up at the sky around 7 p.m. maybe I looked and seeing this flashing brilliant Lite over the building across from my house if Flash to the size of a golf ball then it faded away and appeared at a different spot maybe 15 feet,"Rochester , NY, US",,
,,12:00AM,,,,
1,12/15/2018,9/18/2018,{cak} Only noticed in picture later that day.,"Owego, NY, US",,ufoCopy.jpg
,,10:35AM,,,,
2,12/2/2018,9/1/2018,{jpg} Reptilian Anomaly in nature enviroment.,"Pulaski, NY, US",,1508515609320639321731954799297n.jpg
,,12:00AM,,,,4068393121504828786048758528135952550330368n.jpg
3,11/24/2018,8/2/2018,"{rjl} My brithday had fire and took photo of the view noticed entity,later took pic of coons saw ufo above truck next to star,way to low for plane.","Fillmore, NY, US",,20180812222510.jpg
,,12:00AM,,,,20180812222434.jpg
,,,,,,20180922192852.jpg
,,,,,,Screenshot20181124155444.png
,,,,,,Screenshot20181124152601.png
4,11/3/2018,10/2/2018,"{tjd} often seen, good enity, not a plane","NY, US",,1.html
,,10:46AM,,,,AF1QipOeaa1c8tL7fqu8dyZ7Io5yy2RvBxgz5pjLe0.html
,,,,,,AF1QipMoWy7CMnC7UwlIx2sZDbCQae2Y6uHSJWTJt40.html
,,,,,,AF1QipOeaa1c8tL7fqu8dyZ7Io5yy2RvBxgz5pjLe0.html
,,,,,,AF1QipPcI9rYg7EpqyfObhA5EoCeGkqdiR2N9XMdXdW.html
5,10/27/2018,10/26/2018,{cak} 5:58 AM Heading South about to turn Right to Head West. A Blue light came out of the North West heading South East. In 1 or 2 seconds it appeared then was gone. It was not a shooting star or a plane. It was moving way to fast.,"New York, NY, US",,
,,5:58AM,,,,
6,10/26/2018,8/10/2018,{cak} Popped up like mars then got closer and closer,"East otto, NY, US",,
,,12:00AM,,,,
7,10/25/2018,10/25/2018,{cak} An orb was hovering in the sky and then slowly ascended above the cloudline,"Montazuma, NY, US",,
,,7:10PM,,,,
8,10/25/2018,10/25/2018,{cak} Large red glow in the SW sky,"Hoosick, NY, US",,IMG7414.JPG
,,5:30AM,,,,IMG7448.JPG
9,10/7/2018,10/7/2018,"{tjd} Bright yellow-orange orb, hovered dimmed, then moved slowly northwest out of sight.","Ithaca, NY, US",,
,,9:30PM,,,,
10,10/7/2018,9/20/2018,{tjd} Probe or entity,"Carmel, NY, US",,Doorbell.3gp
,,12:00AM,,,,
11,10/3/2018,9/24/2018,"{jpg} For approx. 5 seconds three UFOs were in view, long enoughto take pix.","Baldwinsville, NY, US",,70A33163FF944CBA908FE6526E4EC13E.jpeg
,,6:45PM,,,,F391C3CDB0E8427B971AED2E9BBC1080.jpeg
12,10/2/2018,10/2/2018,{jpg} Lights pulsating and flashing above cloud cover,"Sherman, NY, US",,
,,9:18PM,,,,
13,9/29/2018,9/29/2018,{jpg} 2 bright red oval shape appeared then disappeared then reappeared.,"Saugerties, NY, US",,
,,9:30PM,,,,
14,9/23/2018,9/23/2018,"{dr}Odd Satellite, multicolored always same place 65 miles approx 40 miles over Hamilton","Buffalo, NY, US",,
,,9:00PM,,,,
15,9/23/2018,9/23/2018,{dr}White orb changed to a red/orange flying wing structure.,"Saratoga Springs, NY, US",,
,,8:09PM,,,,
16,9/20/2018,9/5/2018,unknown,"Prattsburgh, NY, US",,MVIMG201809052228562.jpg
,,9:30PM,,,,MVIMG201809052228552.jpg
17,9/20/2018,9/19/2018,{rjl}?a boomerang or batman insignia type of dk. colored object fluttering overhead towards nw. or bat like,"Levittown, ny, NY, US",,
,,7:00PM,,,,
18,9/17/2018,9/16/2018,{rjl} Strange hovering ball of light with a tail below it,"Astoria, NY, US",,743F7871AD754BF59C8591F870FE27F4.MOV
,,11:05AM,,,,1641F9899C2B407495C49CD4D714F943.jpeg
,,,,,,C0EE7053D46D424A8679B999D2C3F7D9.jpeg
,,,,,,9E8F79498D17463F8AE2E65FA7953275.jpeg
,,,,,,808DC0B04E9946FC93D37899544498D2.jpeg
19,9/16/2018,9/2/2018,ufos appeared on map while i was searching for a location.,"NY, US",,ufo1.PNG
,,10:10AM,,,,ufo2.PNG
20,9/13/2018,9/13/2018,"{cak} A white teardrop shaped moved at a high rate of speed, from east to west, with some sit zag maneuvers and acceleration of speed.","Oswego, NY, US",,
,,10:10AM,,,,
21,9/12/2018,9/12/2018,{cak} Bright green light that hovered in the sky then slowly drop Edna downward in the sky and disappeared.,"West Seneca, NY, US",,
,,9:25PM,,,,
22,9/12/2018,9/12/2018,{cak} At 17 I saw something & now my 2nd one at 41 convinced me.,"Jamestown, NY, US",,
,,2:35PM,,,,
23,9/8/2018,9/8/2018,{jpg} this was seen in only one photo as pics were taken during fireworks show.,"hudson falls , NY, US",,41462190102132223922964053511559626212507648n.jpg
,,12:00AM,,,,
24,9/4/2018,8/31/2018,{jpg} Triangle lights am deathly orbs moving in a Line over Albany ny,"Albany, NY, US",,trim.D65804325DBF465D889F77541E286A7F.MOV
,,10:11PM,,,,trim.008F3230B61D4E3FA94D400542AFC754.MOV
,,,,,,trim.97DEE10CED5D4035ADFFDBE95AEB9A37.MOV
,,,,,,trim.3286F0E931314F649119998933B6EE69.MOV
25,9/4/2018,8/31/2018,{jpg} Large orange-red orb slowly flying with no sound along shoreline of Lake Champlain,"willsboro, NY, US",,IMG25904.MOV
,,9:05PM,,,,Image11.jpg
,,,,,,IMG20962.png
,,,,,,IMG20923.png
,,,,,,IMG20952.png
26,9/1/2018,9/1/2018,"{td} Husband trying to take a picture of the perfect blue hole in the sky, noticed the one dark, round object, then took a few more, is when I noticed more objects with it","Hamburg, NY, US",,UFO.jpg
,,2:10PM,,,,ufo3.jpg
,,,,,,ufo4.jpg
,,,,,,ufo2.jpg
27,8/29/2018,8/28/2018,"{td} Abduction from bedroom. Marks on leg found upon waking up. Triangle shape, equidistant from each other.","Deer Park, NY, US",,20180829231645.jpg
,,3:10AM,,,,
28,8/29/2018,8/29/2018,{td} is very odd looking in moving very smoothly at first I thought it was a helicopter carrying something had to stop and get a closer look it up you’re almost to the floating,"Cedarhurst, NY, US",,1A593C041DB849198E6E7152E8C4DAA8.MOV
,,6:20AM,,,,C51F12D7C42C4956A55FA6D5608BD452.jpeg
,,,,,,8A0BC9D7BB4A4A6FBE279122BC4D0E69.jpeg
,,,,,,64C0FFBBEBDA4848BC932110E090DBBE.jpeg
29,8/20/2018,8/16/2018,"{rjl}7 lights flew in formation, stopped, and absorbed each other only to break up once Again and fly off","shuyler, NY, US",,
,,12:00AM,,,,
30,8/16/2018,8/15/2018,"{cak} House lights dimmed , then real loud buzzing then they lit up and took off","Staten Island , NY, US",,
,,12:00AM,,,,
31,8/15/2018,8/14/2018,"{cak} Red light,strange movements followed by plane.Became 5or6 in a circle,hovering,each with a yellow light at bottom.2 more observed 5 mins later.","Levittown, NY, NY, US",,
,,8:25PM,,,,
32,8/14/2018,8/12/2018,{cak} Orange starlike light changed direction abruptly,"NYC, NY, US",,
,,12:00AM,,,,
33,8/13/2018,8/13/2018,"{cak} Flash like meteor overhead, repeated at several second intervals moved north, then northeast","Rochester, NY, US",,
,,1:45AM,,,,
34,8/8/2018,8/7/2018,"{jpg} 4+ total glowing orbs caught on camera invisible to naked eye, weird nature phenomena following","Brooklyn, NY, US",,IMG20180807191634.jpg
,,7:15PM,,,,Snapchat810130956.jpg
,,,,,,ufo3.jpg
35,8/7/2018,8/4/2018,"{jpg} UFO videoed at Ellicot Creek Park in Tonawanda NY on August 4, 2018","Tonawanda (Amherst), NY, US",,UFO2832018.MP4
,,10:23PM,,,,
36,8/7/2018,8/6/2018,{jpg} UFO was a half circle of lights on top that changed in color. Bottom half was hazy and shape poorly defined but overall shape was a rough disc. Moved like a jellyfish in the ocean when hovering.,"High Falls, NY, US",,
,,10:40PM,,,,
37,8/7/2018,8/4/2018,{jpg} My family and I have been seeing a weird light in the sky for a few years now. Just recently I started seeing a different craft that is closer and much more scary.,"Darien Center, NY, US",,
,,3:30AM,,,,
1,1/19/2019,12/22/2018,{rjl} Unknown super fast bright light passing close to the moon.,"Westbury, NY, US",,
,,5:36PM,,,,
2,1/10/2019,11/1/2018,"{cak} I have been informed, by an unknown form of communication, that I am being mind controlled, as well as the subject of time manipulation. I continue to be in contact with an unknown presence, who remains in contact with me throughout my entire day.","Dix Hills , NY, US",,A5D43DECCD864A7DACDEE21ED52279B6.jpeg
,,12:00AM,,,,
3,1/10/2019,12/10/2018,"{cak} I have been informed, by an unknown form of communication, that I am being mind controlled, as well as the subject of time manipulation. I continue to be in contact with an unknown presence, who remains in contact with me throughout my entire day.","Dix Hills , NY, US",,A5D43DECCD864A7DACDEE21ED52279B6.jpeg
,,12:00AM,,,,E49F9610100A4F7FB4909EDB1DC03D6D.jpeg
,,,,,,FF1E20D2E3624DBD80470B1A53053D7F.jpeg
,,,,,,266D2465880742E79291FB43DC8E7A18.jpeg
,,,,,,36C5AE4D6C414771B5CABAFA9B794023.jpeg
4,12/30/2018,12/24/2018,{dr}A long white path (V shaped) in lower sky for about 2 seconds up Bear Mountain.,"bear mountain, NY, US",,
,,9:15PM,,,,
5,12/27/2018,12/25/2018,{tjd} Blue-green spots in two pictures taken within seconds of each other show unusual objects,"New York, NY, US",,20181225132528.jpg
,,1:25PM,,,,20181225132533.jpg
,,,,,,Capture.PNG
6,12/20/2018,11/16/2018,{rjl} Peacefull slow flyby through low cloud break followed by counter directional spacetime experiences,"Lysander, NY, US",,
,,3:30PM,,,,
7,12/14/2018,12/13/2018,{cak} light orb came from ground level to anout 5Ft. scaring a wild fox.,"Catskill, NY, US",,STClight.AVI
,,10:53PM,,,,
8,12/2/2018,11/30/2018,{jpg} CIRCLE ZIGZAGGING IN ONE LARGE AREA IN THE SKY FOR HOURS,"NEW YORK, NY, US",,IMG1042.MOV
,,12:00AM,,,,
9,12/2/2018,12/1/2018,{tjd} It was a bright light. It was a circle not moving st first and flashed a few times. It was no plane and too small to be a star then changed direction and color from a white to like a yellowish orange.,"Oceanside , NY, US",,20181201044245.jpg
,,4:05AM,,,,20181201043944.mp4
,,,,,,20181201044248.mp4
10,11/29/2018,11/29/2018,tjd} Observed stationary object from time to time over about 2.5 hours. It was in different positions at various times but I did not observe it moving.,"New York, NY, US",,P1050228.JPG
,,4:00AM,,,,P1050229.JPG
,,,,,,P1050230.JPG
,,,,,,P1050233.JPG
,,,,,,P1050243.JPG
,,,,,,P1050250.JPG
,,,,,,P1050252.JPG
,,,,,,P1050259.JPG
11,11/26/2018,11/23/2018,{tjd} My friend observed it and asked me to report it for him so he could remain anonymous.,"New York, NY, US",,IMG6607.3gp
,,5:05PM,,,,IMG6632.jpg
12,11/26/2018,11/23/2018,{tjd} UFO Over Walmart,"Commack, NY, US",,20181123054408.mp4
,,5:43AM,,,,
13,11/24/2018,11/23/2018,{rjl} Object in the sky descended and followed my vehicle,"Edwards, NY, US",,
,,6:15PM,,,,
14,11/23/2018,11/23/2018,{rjl} Sighted Unidentified Object in Sky.,"New City, NY, US",,
,,5:35AM,,,,
15,11/20/2018,11/20/2018,"{rjl} Large, extremely bright diamond shaped craft hovered in air for about 7 seconds then disappeared completely","Modena , NY, US",,
,,3:30PM,,,,
16,11/18/2018,11/6/2018,"{rjl} Took a quick picture of a plane not seen in this area often, and captured a ufo","Syracuse, NY, US",,
,,2:35PM,,,,
17,11/18/2018,11/17/2018,"{rjl} A flame like glowing orb flys over Staten Island, New York","Staten Island, NY, US",,
,,12:00AM,,,,
18,11/14/2018,11/14/2018,{cak} UFO Event over Caroga Lake NY,"Caroga Lake, NY, US",,
,,7:24PM,,,,
19,11/11/2018,11/10/2018,"{cak} zigzagging, then strait, and when I stood and stred at it, it stopped and it's like it stared back. I looked away at my dog, looked by to sky and it was gone . I looked north and saw it zooming away. It saw me, we had a moment and I'm scared.","skaneatelese, NY, US",,
,,6:25PM,,,,
20,11/3/2018,11/3/2018,"{tjd} We dawn beams ignoring light in the sky in a strange pattern. We then saw a circular ship slowly hovering above us, unlike anything now we'd ever seen.","Rochester , NY, US",,
,,9:00PM,,,,
1,11/19/2018,1/24/2018,{rjl} I just saw something weird then took a picture,"Lancaster, PA, US",,20180124182453.jpg
,,8:00PM,,,,
2,9/19/2018,1/1/2018,{rjl} I have solved our mystery. Backed my satellite mapping and geographical land marks.,"Every one., PA, US",,
,,1:59AM,,,,
3,7/2/2018,3/17/2018,"{dr}looked before and after turning a corner, where a building obstructed view, turned corner and it was gone","Bellevue, PA, US",,
,,12:00AM,,,,
4,6/14/2018,3/18/2018,{cak} Orbs and Saucer,"Wilmington , PA, US",,IMG0002.MP4
,,8:44PM,,,,IMG0142.JPG
,,,,,,IMG0143.JPG
,,,,,,IMG0144.JPG
5,5/19/2018,1/29/2018,"cak} I witnessed a black triangle over my house, a friend saw the same thing over a nuclear power plant","Phoenixville, PA, US",,45FF543D3E454B07AEB596C0413F0F9E.png
,,12:00AM,,,,145EACE0A3DF4C718A8325F3AB3CA47C.MOV
,,,,,,8925D895096C41059CBE7741E8C2D019.png
6,5/13/2018,1/1/2018,{cak} Saw the ufo cloak itself as i watched it fade to invisible.,"Manheim, PA, US",,
,,12:00AM,,,,
7,4/16/2018,3/16/2018,"{cak} Blinked on twice, three times in a row.","Honey Brook, PA, US",,
,,12:00AM,,,,
8,4/3/2018,3/26/2018,{jpg} Direct flyover my head,"Bridgeville, PA, US",,
,,3:15AM,,,,
9,3/26/2018,3/26/2018,{td} Single red light heading rapidly south,"Malvern, PA, US",,
,,9:15PM,,,,
10,3/25/2018,3/23/2018,{td} Observed bright orange orb traveling on a straight horizontal path in generally a SE direction with small white lights at street level.,"Audubon, PA, US",,UFOAudubonPA23MAR2018.mov
,,9:05PM,,,,UFOAudubonPA23MAR2018Enhanced.mp4
,,,,,,UFOAudubonSuperSlowEnhanced.mp4
11,3/23/2018,3/19/2018,{rjl} My friend saw,"Drums, PA, US",,IMG50321.mov
,,12:00AM,,,,
12,3/19/2018,2/14/2018,"{rjl} Starry sky,pitch black; took random photos several dates Feb, and Mar 2018","PA, US",,DSC01982.JPG
,,12:00AM,,,,
13,3/19/2018,2/14/2018,"{rjl} Starry sky,pitch black; took random photos several dates Feb, and Mar 2018","PA, US",,DSC01982.JPG
,,12:00AM,,,,DSC01983.JPG
,,,,,,DSC01986.JPG
,,,,,,DSC01988.JPG
,,,,,,DSC02049.JPG
,,,,,,DSC02050.JPG
,,,,,,DSC02051.JPG
,,,,,,DSC02052.JPG
14,3/18/2018,3/18/2018,{rjl} Various bright orbs found in sky moving around and converging.,"Hanover, PA, US",,
,,9:44PM,,,,
15,3/14/2018,3/13/2018,{cak} looked like a star but then it moved to the left and then to the right it moved in a circle and side to side. I got my husband to make sure I wasn’t seeing things and he said it was a falling star and then it moved up way up and and back do,"Emmaus, PA, US",,IMG2024.MOV
,,12:00AM,,,,
16,3/13/2018,3/12/2018,"{cak} long, slender dark shape; flight path from South to North; est. distance of 1 to 2 miles +/-; altitude est. 800' to >1800'; in sight for less than 1 minute, est. speed 160 - 180 mph.","Pottstown, PA, US",,
,,2:30PM,,,,
17,3/10/2018,3/3/2018,{jpg} Looked like flock of seagulls swirling around and intermittently disappearing Into the sky,"Southampton, PA, US",,
,,12:30PM,,,,
18,3/8/2018,3/8/2018,"{jpg} Zig-Zagging at high speeds, impossible for known aircraft, light-trail","Croydon, PA, US",,
,,12:00AM,,,,
19,3/6/2018,3/5/2018,"{jpg} Silent, bright object that seemingly hovered stationary above my neighborhood.","Philadelphia, PA, US",,VID20180305180816116.mp4
,,6:10PM,,,,20180305IMG0232.jpg
,,,,,,20180305IMG0238.jpg
,,,,,,20180305IMG0242.jpg
20,2/28/2018,2/28/2018,{td}White steady light trailed by red flashing light,"New Kensington, PA, US",,
,,9:30PM,,,,
21,2/28/2018,2/27/2018,{td}Transparent triangle traveling across sky southwest to northwest. Truly remarkable and like nothing ever seen.,"State College, PA, US",,
,,8:30PM,,,,
22,2/23/2018,2/4/2018,{rjl Boyfriend videotaped UFO in my neighborhood's park. Caught on camera moved around a lot,"Quakertown, PA, US",,ufo3.mp4
,,8:16AM,,,,
23,2/22/2018,2/15/2018,{rjl} A co-resident of mine was picked up and carried 1/2 block in the weather turbulence of a potential UFO (according to her description) recently classified locally as a tornado.,"Uniontown, PA, US",,ExtraterrestrialChristianityandtheSecondComing.wmv
,,7:12PM,,,,
24,2/19/2018,2/19/2018,{rjl} Huge orange fireball,"PA, US",,
,,12:00AM,,,,
25,2/13/2018,2/13/2018,"{cak} 4 brilliant white lights, illuminated an edge top & bottom, top & bottom looked cigar shaped","Grantville, PA, US",,
,,6:40PM,,,,
26,2/11/2018,2/11/2018,{cak} Noticed a light shining so bright in the sky out my dining window that it projected in on my walls.,"Indiana, PA, US",,EF639BCAA65D4C948A4A643A26725ED8.jpeg
,,9:30PM,,,,2ECC2B0442274CE29C8DAF78B54F4DF7.png
,,,,,,3A57564945F3467482299AAA5AC119CD.png
,,,,,,B5EBDEEE893641AE9887F55EEBD02E28.MOV
27,2/11/2018,2/9/2018,"{cak} Semi diamond shaped object with what looked like an enormous spotlight in the sky. I am beyond shaken by this experience. The lights were the brightest largest light I'd ever seen, with absolutely no sound. What did we just witness?","Derry, PA, US",,20180209231847.mp4
,,11:18PM,,,,20180209231958.mp4
28,2/6/2018,2/6/2018,{jpg} Drvg NW on Pa Rt 22 (5:25ET) obj sht by other objt . please look into rhis..objt 2..stood for long time following1st obj observed obj 2 come down. I was way to far but i know wat i saw wasnt no military craft.. Waa way to big and the behavior wasn,"Bethlehem, PA, US",,1231.jpeg
,,5:23PM,,,,12312.jpeg
,,,,,,12313.jpeg
29,2/6/2018,2/4/2018,{jpg} I was looking out of the kitchen window when odd and extremely bright orbits appeared hovering They were in a perfect alignment. Whilewatching them others appeared I called for my wife we went outside and watched them until they disappeared .,"MT. Pleasant , PA, US",,
,,1:38AM,,,,
30,2/5/2018,2/4/2018,{jpg} post superbowl festivities white glowing triangle seen very briefly,"Philadelphia, PA, US",,
,,11:00PM,,,,
31,1/29/2018,1/27/2018,{dr}At least 50 plus objects flying from East to west. The event took over 15 minuets,"Bensalem Bucks County Pa., PA, US",,
,,5:30PM,,,,
32,1/29/2018,1/28/2018,{dr}As shown in pic and videi sound is from waterfall we were visiting.,"Lopez, PA, US",,20180128145939.jpg
,,3:30PM,,,,20180128145941.jpg
,,,,,,20180128145943.mp4
33,1/28/2018,1/28/2018,{dr}double triangle shape red white lights south to east silent fast saw from front deck low clouds disappeared over mountain,"Buffalo Mills, PA, US",,
,,7:30PM,,,,
34,1/27/2018,1/26/2018,"{jpg} 1/26/18 3:17 pm just about 10 miles North of Williamsport, PA. Chem trails are not the item am bring up. Zoom in, two small lights going up to the big item. Pics are split second apart. Next pic two lights are going into the big items.","Trout run, PA, US",,0FCDCE20D6584C0DAA528E9DC13563C9.mov
,,3:17PM,,,,FFA3B19C6CB1479AA4141606AD693F42.jpeg
35,1/22/2018,1/19/2018,{jpg} cluster of white orbs spinning amongst them selves - slow fade out.,"Sharpsville, PA, US",,
,,2:55PM,,,,
36,1/21/2018,1/20/2018,{jpg} The object appeared in my photos at 5:38 then disappears from them by 5:45pm.,"Telford , PA, US",,DB895C1FD66C4B40B53C470C3BC73CF5.jpeg
,,5:38PM,,,,99A87F558E2647E7B96236064D691932.jpeg
,,,,,,F09499F7DB8B4E9EADE1502E261A598B.jpeg
,,,,,,8A29162649DA4F6796A9B8E525F4509D.jpeg
,,,,,,6888BE9B064C4EF0A63F815E156EE36D.jpeg
,,,,,,0D8E103AEF7E45439B70F2463C2466B1.jpeg
,,,,,,20371861DC0342AC919639BCCEBC28F0.jpeg
37,1/21/2018,1/20/2018,"{jpg}I photograph cars for acouple fan pages regularly and was doing that with the sunset and came home and saw a object in my shots, a lot of shots I can send, v formation of geese fly between me and object, I didn’t notice till after posting on Facebook","Telford , PA, US",,2DB18200AAAA4AA09DC909E48BBE9D0A.jpeg
,,5:40PM,,,,6533E2A13F95453A87E1BE10D28F62A6.jpeg
,,,,,,B40F5D7E99A44727B008A9448A1C39DA.jpeg
,,,,,,C57B4C2D10504D17895EDA0EF4CA7454.jpeg
,,,,,,5FB201B662AE4A9BA0A90B591DA8CE0F.jpeg
,,,,,,7548684C005A4CA48B0B07B5FF25DBE8.jpeg
,,,,,,9C1DCD7E06E54B6C9CA0CF4AFCB1FB14.jpeg
,,,,,,A8EE323590984B499FD3503067BD1282.jpeg
